slug,name,symbol,category,tvl,chains
fxdao,FxDAO,-,Partially Algorithmic Stablecoin,11935333.203073695,Stellar
csigma-finance,cSigma Finance,SIGMA,RWA Lending,11897832.03375547,Arbitrum;Ethereum;Hedera;Base
lumenswap,LumenSwap,LSP,Dexs,11821008.04618196,Stellar
desyn-basis-trading,DeSyn Basis Trading,-,Basis Trading,11697789.484300839,Bitlayer;Mode;CORE;AILayer;BSquared;Hemi;Binance;Goat;Plume Mainnet;Arbitrum;zkLink;Linea;Merlin;Scroll;exSat;HashKey Chain
iotube,ioTube,-,Bridge,11646712.7881155,Ethereum;IoTeX;Binance;Polygon
byreal,Byreal,-,Dexs,11602098.50777011,Solana
tea-rex,Tea-REX,TREX,Derivatives,11431267.40894885,Sei
superfluid,Superfluid,SUP,Payments,11408950.046226155,Optimism;Arbitrum;Base;Polygon;Ethereum;Celo;xDai;Avalanche;Scroll;Binance
tropykus-rsk,Tropykus RSK,-,Lending,11357959.056809641,RSK
stronghold-staked-sol,Stronghold Staked SOL,-,Liquid Staking,11357886.39064411,Solana
helix-perp,Helix Perp,-,Derivatives,11318752.713101387,Injective
ethereal-season-zero,Ethereal Season Zero,-,Farm,11196301.777947618,Ethereum
indigo,Indigo,INDY,CDP,11162796.47129256,Cardano
valdora-finance,Valdora Finance,-,Liquid Staking,11148727.105533125,ZIGChain
exinpool,ExinPool,-,Liquid Staking,11103375.0,Mixin
pencil-finance,Pencil Finance,-,RWA Lending,11093459.757581446,EDU Chain
stride,Stride,STRD,Liquid Staking,11093301.775012191,Cosmos;HAQQ;Osmosis;Celestia;BandChain;dYdX;Injective;Berachain;Juno;Dymension;Terra2;Evmos;Stargaze;Umee;Sommelier;Comdex;Stride
zircuit,Zircuit,ZRC,Canonical Bridge,11028548.021887552,Ethereum
hive-protocol,Hive Protocol,-,Chain,10985718.87027133,BSquared
predict-fun,Predict Fun,-,Prediction Market,10973709.924107516,Binance;Blast
templar-protocol,Templar Protocol,-,Lending,10908138.222717883,Bitcoin;Ethereum;Stellar;Near;Solana
bitbond-lockers,Bitbond Lockers,-,Token Locker,10900642.080094498,Base;Binance;Ethereum;Optimism;Avalanche;Polygon;Arbitrum
hatom-lending,Hatom Lending,HTM,Lending,10767302.14655243,Elrond
swaap-maker-v2,Swaap Maker V2,-,Dexs,10661286.322880331,Ethereum;Base;Binance;Arbitrum;Polygon;Optimism;Mode;Linea;Scroll;Mantle
rif-on-chain,RIF ON CHAIN,-,Dual-Token Stablecoin,10651662.474212669,RSK
meld-gold,Meld Gold,-,RWA,10596287.584565554,Algorand
aave-v1,Aave V1,AAVE,Lending,10594251.86274393,Ethereum
ferra-dlmm,Ferra DLMM,-,Dexs,10584644.329755932,Sui
acryptos,ACryptoS,ACS,Liquidity manager,10559723.547954828,Binance;Arbitrum;Avalanche;Base;Moonbeam;Moonriver;Astar;Linea;Ethereum;Optimism;Cronos;xDai;Polygon;Fantom;Kava;Canto;Harmony
mim-swap,MIM Swap,-,Dexs,10535160.361219972,Arbitrum;Kava;Nibiru;Blast;Ethereum
eclipse-bridge,Eclipse Bridge,-,Canonical Bridge,10476068.84421618,Ethereum
toros,Toros,-,Derivatives,10444933.169167625,Arbitrum;Optimism;Base;Ethereum;Polygon
deri-v4,Deri V4,DERI,Options,10320251.775804501,Linea;Binance;Base;zkSync Era;Supra;Arbitrum;Sonic;Polygon zkEVM;Taiko;Blast;Manta;Scroll
aftermath-afsui,Aftermath afSUI,-,Liquid Staking,10302021.500594921,Sui
enosys-loans,Enosys Loans,EXFI,CDP,10246509.107401602,Flare
zyfai,ZyFAI,ZFI,Yield,10236793.925692977,Base;Arbitrum;Plasma;Sonic
woo-x,WOO X,WOO,CEX,10219749.111587217,Ethereum;Binance;Arbitrum;Tron;Avalanche;Bitcoin;Optimism;Polygon;Fantom
balancer-v1,Balancer V1,BAL,Dexs,10149456.647078007,Ethereum
shardingdao,ShardingDAO,-,Staking Pool,10143181.498194274,Ethereum
revert-lend,Revert Lend,-,Lending,10136942.901773404,Arbitrum;Base;Ethereum
neverland,Neverland,DUST,Lending,10121557.792039456,Monad
kyros,Kyros,-,Liquid Restaking,10016739.41908788,Solana
init-capital,INIT Capital,-,Lending,10011855.706274487,Mantle;Blast
camelot-v2,Camelot V2,GRAIL,Dexs,9832368.246347949,Arbitrum;ApeChain;Sanko;Xai;Superposition;Rari;Reya Network;EDU Chain;Gravity;DuckChain
levex,LeveX,-,CEX,9807444.281073092,Ethereum;Binance;Solana;Bitcoin;Polygon;TON;Arbitrum;Base;Avalanche;Optimism
dexalot-portfolio,Dexalot Portfolio,ALOT,Bridge,9789951.92397036,Avalanche;Arbitrum;Base;Binance;Ethereum
flexa,Flexa,AMP,Payments,9761906.76663661,Ethereum
superlend,Superlend,-,Lending,9692626.796842735,Etherlink
lorenzo-stbtc,Lorenzo stBTC,-,Restaked BTC,9664009.346906912,Bitcoin
mode-bridge,Mode Bridge,MODE,Canonical Bridge,9649008.282306777,Ethereum
sophon-farm,Sophon Farm,-,Chain,9628626.400699487,Sophon;Ethereum
metalx-swap,MetalX Swap,-,Dexs,9624408.727274315,Proton
basin-exchange,Basin Exchange,-,Dexs,9616287.547218049,Arbitrum;Ethereum
balanced-exchange,Balanced Exchange,BALN,Dexs,9596342.887209697,Icon;Avalanche;Binance;Arbitrum;Solana;Stellar;Sui;Injective;Base;Archway;Optimism
probit-global,ProBit Global,PROB,CEX,9532577.038171556,Bitcoin;Binance;Ethereum;Ripple;Tron;Solana;Polygon;Fantom
mole,Mole,MOLE,Yield,9515945.851312965,Sui;Aptos
meridian-amm,Meridian AMM,-,Dexs,9502382.433659827,Movement
tau-labs,TAU Labs,-,Risk Curators,9481312.412245667,Ethereum;Flow
symbiosis,Symbiosis,SIS,Cross Chain Bridge,9416438.53498713,Ethereum;Tron;Binance;TON;Polygon;Arbitrum;Base;Merlin;RSK;Hyperliquid L1;Boba;zkSync Era;Gravity;xDai;Linea;Katana;Scroll;Cronos;BSquared;Manta;Mantle;Bahamut;Optimism;Cronos zkEVM;Abstract;Avalanche;Sonic;Metis;Plasma;Berachain;Blast;Telos;Polygon zkEVM;Taiko;Unichain;Mode;Soneium;Arbitrum Nova;Sei;Op_Bnb;zkLink;Fraxtal;ApeChain;ZetaChain;Kava;Morph;Goat;CORE;Aurora;Boba_Avax
prime-staking,Prime Staking,-,Liquid Staking,9322440.06612391,XDC
bifi,BiFi,BiFi,Lending,9301527.872113014,Bifrost Network;Binance;Ethereum;Klaytn;Avalanche
swirl,Swirl,-,Liquid Staking,9289129.556381816,IOTA
origin-dollar,Origin Dollar,-,Yield Aggregator,9269400.017258544,Ethereum
aktionariat,Aktionariat,DAKS,RWA,9152691.052703176,Ethereum;Optimism;Polygon
enosys-amm-v3,Enosys AMM V3,EXFI,Dexs,9108312.621343564,Flare;Songbird
d2-finance,D2 Finance,-,Onchain Capital Allocator,9092773.64294816,Arbitrum;Hyperliquid L1;Base;Berachain;Ethereum
gyroscope-protocol,Gyroscope Protocol,GYD,Dexs,9088185.121529313,Arbitrum;xDai;Polygon;Avalanche;Base;Ethereum;Optimism;Sonic;Polygon zkEVM;Sei
hamilton-lane-senior-credit-opportunities-securitize-fund,Hamilton Lane Senior Credit Opportunities Securitize Fund,HLSCOPE,RWA,8984887.0149422,Polygon;Ethereum;Optimism
botanix-stbtc,Botanix stBTC,-,Liquid Staking,8970802.695092233,Botanix
zora-bridge,Zora Bridge,ZORA,Canonical Bridge,8969861.802406788,Ethereum
matrixdock-stbt,MatrixDock STBT,-,RWA,8963725.280763816,Ethereum
avant-aveth,Avant avETH,-,Onchain Capital Allocator,8957828.20724934,Ethereum
aftermath-amm,Aftermath AMM,-,Dexs,8938256.081532381,Sui
bio-protocol,Bio Protocol,BIO,Launchpad,8813537.617596162,Ethereum;Base
shibaswap-v1,ShibaSwap V1,BONE,Dexs,8799443.491423339,Ethereum;Shibarium
aborean-amm,Aborean AMM,ABX,Dexs,8799214.957914714,Abstract
stakestone-berachain-vault,StakeStone Berachain Vault,-,Onchain Capital Allocator,8788322.916418001,Ethereum
etherex-legacy,Etherex Legacy,-,Dexs,8787629.411589231,Linea
easedefi.org,Easedefi.org,EASE,Insurance,8719332.235524146,Ethereum
sorare-bridge,Sorare Bridge,-,Canonical Bridge,8715625.345971726,Ethereum
moveposition,MovePosition,-,Lending,8712198.392374374,Movement
pickle,Pickle,PICKLE,Yield Aggregator,8646650.196138317,Ethereum;Polygon;Optimism;Aurora;Arbitrum;Metis;Moonbeam;Moonriver;OKExChain;Cronos;Harmony;Kava
hemi,Hemi,-,Canonical Bridge,8595465.377535202,Ethereum
bluefin-pro,Bluefin Pro,BLUE,Derivatives,8563110.610873675,Sui
eigenpie,Eigenpie,-,Liquid Restaking,8551656.245664086,Ethereum;Zircuit
hyperwave,HyperWave,-,Yield,8544280.669512343,Arbitrum;Hyperliquid L1;Base;Ethereum
inceptionlrt-(isolated-restaking),InceptionLRT (Isolated Restaking),-,Liquid Restaking,8531221.012973765,Ethereum
ferro,Ferro,FER,Dexs,8530874.360679723,Cronos
quarry,Quarry,-,Yield,8495900.276973901,Solana
bracket-vaults,Bracket Vaults,-,Onchain Capital Allocator,8454387.615958806,Ethereum
vnx,VNX,-,RWA,8413192.04960137,Solana;Avalanche;Ethereum;Base;ICP;Stellar;Q Protocol;Celo;Polygon;Fraxtal;Arbitrum
the-idols,The Idols,VIRTUE,Reserve Currency,8409649.640834277,Ethereum
mars-lend,Mars Lend,MARS,Lending,8409429.645640127,Osmosis;Neutron;Terra
woodswap,WoodSwap,-,Dexs,8364896.126096925,RSK
fastex,Fastex,-,CEX,8224545.973759605,Tron;Bahamut;Ethereum;Solana;Binance;Aptos;Optimism;Avalanche;Arbitrum;Litecoin;Ripple;Cardano;Polkadot;Bitcoin
aptin-finance-v2,Aptin Finance V2,-,Lending,8208124.719728143,Aptos
zerolend-lending,ZeroLend Lending,ZERO,Lending,8138638.244020268,Linea;zkSync Era;Blast;Ethereum;Manta;Base;Abstract;X Layer;Zircuit;Corn;Hemi
stfil,STFIL,-,Liquid Staking,8137683.291171789,Filecoin
synatra,Synatra,-,Yield Aggregator,8134461.230580997,Solana
lendle-pooled-markets,Lendle Pooled Markets,LEND,Lending,8129498.867854816,Mantle
wrapped-bnb,Wrapped BNB,-,Bridge,8106694.78788162,Binance
thalaswap,ThalaSwap,THL,Dexs,8101319.964387861,Aptos
liquidloans,LiquidLoans,LOAN,CDP,8077667.341214304,Pulse
hawkfi,HawkFi,HAWK,Liquidity manager,8059794.380289676,Solana
termfinance-lend,TermFinance Lend,-,Lending,8043166.472980787,Ethereum;Plasma;Base;Avalanche
tranchess-yield,Tranchess Yield,CHESS,Yield,8035237.270400554,Binance;Scroll;Ethereum
nonkyc,NonKYC,-,CEX,8019825.86072832,Binance;Ethereum;Arbitrum;Polygon;Avalanche;Optimism;Algorand;Base;Sonic;Flare;Cardano;Tron;Litecoin;Energi;Ripple
trevee-earn,Trevee Earn,-,Yield Aggregator,7994489.526731311,Ethereum;Plasma;Sonic
pay-protocol,Pay Protocol,-,Payments,7964119.970055386,Tron;Binance;Ethereum
hotcoin,Hotcoin,-,CEX,7960133.512702332,Ethereum;Binance;Tron;Polygon;Arbitrum;Solana;Optimism;Scroll;Bitcoin;Op_Bnb
cvault-finance,cVault Finance,CORE,Yield,7955625.480700781,Ethereum
metastable,Metastable,-,CDP,7950162.682708607,Sui
tinyman,Tinyman,TINY,Dexs,7949757.629813754,Algorand
elfi-protocol,ELFi Protocol,-,Derivatives,7948501.412113331,Arbitrum;Base
save-sol,Save SOL,SAVE,Liquid Staking,7942698.498287346,Solana
arcadia-v2,Arcadia V2,AAA,Liquidity manager,7889773.96505394,Base
kittypunch-punchswap,KittyPunch PunchSwap,-,Dexs,7871975.7992440155,Flow
pando-rings,Pando Rings,-,Lending,7854474.441760717,Mixin
hydro-lst,Hydro LST,HDRO,Liquid Staking,7836764.858132925,Injective
abc-pool,ABC Pool,ABC,Staking Pool,7834453.513054133,Conflux
bob-bridge,BOB Bridge,-,Bridge,7766170.435330701,Ethereum
defituna-lending,DefiTuna Lending,TUNA,Lending,7745559.990335482,Solana
vires-finance,Vires Finance,VIRES,Lending,7742235.107858464,Waves
aztec-connect,Aztec Connect,-,Privacy,7733957.603774188,Ethereum
teller,Teller,-,Lending,7729523.605116893,Ethereum;Base;Arbitrum;Katana
k2,K2,-,Chain,7724611.7655329,Ethereum
lair-finance,Lair Finance,-,Liquid Staking,7717632.432454992,Klaytn;Somnia;Berachain
radpie,Radpie,RDP,Yield,7714864.519433672,Arbitrum;Binance
bifrost-dex,Bifrost Dex,BNC,Dexs,7697451.658908193,Bifrost
peapods-finance,Peapods Finance,PEAS,Yield,7692742.997266632,Ethereum;Base;Arbitrum;Sonic;Berachain;Mode
stafi,Stafi,FIS,Liquid Staking,7672442.199191685,Ethereum;Binance;Solana;Cosmos;Stafi
hiveswap-v3,HiveSwap V3,-,Dexs,7598140.273109361,Map
splash-protocol,Splash Protocol,SPLASH,Dexs,7587403.883387242,Cardano
woofi-swap,WOOFi Swap,WOO,Dexs,7578576.722037386,Avalanche;Polygon;Base;Linea;Mantle;Arbitrum;Optimism;Binance;Sonic;Monad;Berachain;Hyperliquid L1;zkSync Era;Fantom;Ethereum;Polygon zkEVM
kinza-finance,Kinza Finance,KZA,Lending,7553322.51339396,Binance;Ethereum;Op_Bnb;Mantle
xwin-finance,xWin Finance,XWIN,Indexes,7547726.028890729,Binance;Arbitrum;Polygon
layerbank,LayerBank,LAB,Lending,7515262.601320597,Manta;Linea;RSK;Scroll;Hemi;BOB;BSquared;Plume Mainnet;Morph;Taiko;Mint;zkLink;Bitlayer;Nibiru;Binance;Mode
flowswap-v3,FlowSwap V3,-,Dexs,7513872.522556479,Flow
autofarm,Autofarm,AUTO,Yield Aggregator,7500722.771921815,Binance;Cronos;Polygon;Moonriver;Avalanche;OKExChain;Celo;xDai;Velas;Oasis;Fantom;Boba;Kucoin;Aurora;Harmony;Wanchain;Moonbeam;Evmos;Fuse;Heco
swellchain-bridge,Swellchain Bridge,-,Canonical Bridge,7448683.944988278,Ethereum
fenix-concentrated-liquidity,Fenix Concentrated Liquidity,FNX,Dexs,7445608.869964691,Blast
uniswap-v1,Uniswap V1,UNI,Dexs,7385418.2548290705,Ethereum
deltaprime,DeltaPrime,PRIME,Leveraged Farming,7330163.211773988,Avalanche;Arbitrum
synnax-protocol,Synnax Protocol,-,CDP,7309778.68757122,Sei
uranium.io,Uranium.io,XU3O8,RWA,7223541.430334985,Etherlink
binaryx-platform,Binaryx Platform,-,RWA,7209570.982648817,Polygon
vest-markets,Vest Markets,-,Derivatives,7167385.559832844,Arbitrum;Base;Binance;Ethereum;Optimism;Polygon;zkSync Era
boros,Boros,-,Derivatives,7157786.980311142,Arbitrum
adrastea-lst,Adrastea LST,-,Liquid Staking,7148757.774522034,Solana
unitus,Unitus,UTS,Lending,7131612.72040136,Conflux;Ethereum;Binance;Arbitrum;Base;Polygon;Optimism
stakingverse,Stakingverse,-,Liquid Staking,7125334.2680716,Ethereum;LUKSO
gamma,Gamma,GAMMA,Liquidity manager,7096523.88057297,Binance;Ethereum;Polygon;Arbitrum;Linea;xDai;Unichain;IOTA EVM;Metis;Zircuit;Polygon zkEVM;Optimism;Sonic;Base;BOB;Berachain;Manta;Mantle;Immutable zkEVM;Scroll;Moonbeam;Avalanche;Blast;Hemi;Rollux;Celo;World Chain;Taiko;ApeChain;CORE;RSK;Mode;X Layer;Fantom;Op_Bnb;Kava
waterneuron,WaterNeuron,WTN,Liquid Staking,7090217.665437026,ICP
thruster-v3,Thruster V3,-,Dexs,7082809.5339247715,Blast
saber,Saber,SBR,Dexs,7077759.346260661,Solana
endurance-bridge,Endurance Bridge,-,Bridge,7029852.672626914,Endurance
pac-finance,Pac Finance,-,Lending,7017650.693369752,Blast
legion,Legion,-,Launchpad,7012982.489806243,Ethereum
kernel,Kernel,-,Restaking,6995344.55085693,Binance
woofi-earn,WOOFi Earn,WOO,Yield,6968072.511844859,Arbitrum;Base;Avalanche;Mantle;Binance;Optimism;Polygon;zkSync Era;Fantom
taiko-swap,Taiko Swap,-,Dexs,6957188.059917269,Taiko
aborean-cl,Aborean CL,ABX,Dexs,6954483.521614094,Abstract
turbos,Turbos,TURBOS,Dexs,6945370.496522219,Sui
cypher-v4,Cypher V4,-,Dexs,6926405.022094058,Ethereum
hakka-finance,Hakka Finance,HAKKA,Derivatives,6908872.047413653,Ethereum;Binance
powh3d,PoWH3D,-,Farm,6889784.074401145,Ethereum
credit-coop,Credit Coop,-,RWA Lending,6837651.94878388,Ethereum;Base
haedal-vault,Haedal Vault,-,Farm,6832506.5537492,Sui
wingriders,WingRiders,WRT,Dexs,6826316.19800061,Cardano
manta-atlantic-stake,Manta Atlantic Stake,-,Chain,6825580.70162173,Manta Atlantic
acala-liquid-staking,Acala Liquid Staking,DOT,Liquid Staking,6778332.384969508,Acala
ethena-tsusde,Ethena tsUSDe,-,Yield,6774568.456809773,TON
sundaeswap-v3,SundaeSwap V3,SUNDAE,Dexs,6754081.398439591,Cardano
bscswap,BSCSwap,BSWAP,Dexs,6705509.108447698,Binance
equilibre,Equilibre,VARA,Dexs,6657395.626054041,Kava
harmonix-finance,Harmonix Finance,-,Yield,6634721.242214999,Hyperliquid L1;Arbitrum;Ethereum;Base
scrub-invest,Scrub Invest,-,Yield,6632012.135680333,Kava
ronin-bridge,Ronin Bridge,RON,Canonical Bridge,6520474.804891852,Ethereum
iron-bank,Iron Bank,IB,Lending,6520154.6924911775,Ethereum;Optimism;Avalanche;Fantom
alphafi-stsui,AlphaFi stSUI,ALPHA,Liquid Staking,6503040.329379337,Sui
theo-straddle-vaults,Theo Straddle Vaults,-,Basis Trading,6479016.743993534,Arbitrum;Ethereum;Linea;Base
dedust,DeDust,DUST,Dexs,6448404.404334256,TON
avantgarde,Avantgarde,-,Risk Curators,6441677.142146027,Ethereum
extra-finance-xlend,Extra Finance Xlend,EXTRA,Lending,6408290.013446947,Base;Optimism
bulbaswap-v3,BulbaSwap V3,-,Dexs,6399056.476053806,Morph
clever,CLever,CLEV,Yield,6390006.8852445455,Ethereum
hord,Hord,HORD,Liquid Staking,6380403.430877934,Ethereum
mustang-finance,Mustang Finance,-,CDP,6326209.523353025,Saga
pharaoh-cl,Pharaoh CL,PHAR,Dexs,6318589.096336183,Avalanche
wing-finance,Wing Finance,WING,Lending,6293810.268461594,Ontology;Binance;Ethereum;OKExChain;OntologyEVM
keyring,Keyring,-,Risk Curators,6292655.71225412,Avalanche
hatom-liquid-staking,Hatom Liquid Staking,HTM,Liquid Staking,6288297.719258694,Elrond
ultrayield-vaults,UltraYield Vaults,-,Onchain Capital Allocator,6255678.389382846,Ethereum
sphere-finance,Sphere Finance,SPHERE,Yield,6204491.941002157,Polygon
pooltogether-v5,PoolTogether V5,POOL,Yield Lottery,6199535.619088407,Optimism;Base;Ethereum;xDai;World Chain;Arbitrum;Scroll
moar-market,Moar Market,-,Leveraged Farming,6189677.807267843,Aptos
francium,Francium,-,Yield,6144136.0,Solana
obeliskbtc,ObeliskBTC,-,Bridge,6112847.481262703,Bitcoin
dooar,DOOAR,-,Dexs,6096744.935059087,Solana;Binance
aegis-markets,Aegis Markets,-,Liquidity manager,6074114.976412938,Unichain
fanx-protocol,FanX Protocol,-,Dexs,6025825.235060197,Chiliz
3f-mutual,3F Mutual,-,Insurance,5991194.047760825,Ethereum
neoburger,NeoBurger,-,Liquid Staking,5982634.962218316,NEO
stablehodl,StableHodl,-,Yield,5950798.360964922,Polygon;HeLa;Binance;Ethereum
xexchange,xExchange,MEX,Dexs,5936156.0,Elrond
tapp-exchange,Tapp Exchange,-,Dexs,5914896.760169384,Aptos
football.fun,Football.Fun,-,Prediction Market,5904735.109015315,Base
kasu,Kasu,-,RWA Lending,5902464.930376977,Base;Plume Mainnet
bitmart,BitMart,BMX,CEX,5870025.062226854,Solana;Ethereum;Binance;Starknet;Bitcoin
p2pb2b,P2PB2B,-,CEX,5842198.81044744,Bitcoin;Ethereum;Binance;Polygon
growihf,GrowiHF,-,Yield,5839721.300332019,Hyperliquid L1
origin-arm,Origin ARM,-,Yield,5827420.234804356,Ethereum
unichain-bridge,Unichain Bridge,-,Canonical Bridge,5793675.604238978,Ethereum
joe-v2.1,Joe V2.1,JOE,Dexs,5751992.956178458,Avalanche;Arbitrum;Binance;Ethereum
hermetica-usdh,Hermetica USDh,-,Basis Trading,5744497.937176589,Stacks;Bitcoin
dnax,Dnax,-,Dexs,5737554.766117729,Binance
h2-finance-v2,H2 Finance V2,$H2,Dexs,5713315.5035980195,Cronos zkEVM
steamm,STEAMM,-,Dexs,5705410.059516512,Sui
singularv,SingularV,-,Risk Curators,5700121.595258381,Ethereum
honeypop-dex,Honeypop DEX,-,Dexs,5699590.892222709,Scroll
symmio,SYMMIO,SYMM,Derivatives,5686525.628728336,Base;Coti;Binance;Arbitrum;Berachain;Sonic;Mantle;IOTA EVM;Mode
intentx,IntentX,-,Derivatives,5673214.303925948,Base;Mantle;Arbitrum;Blast
virtue,Virtue,-,CDP,5667029.777631912,IOTA
piku,Piku,PIKU,Yield,5637581.575922746,Ethereum
awaken-swap,Awaken Swap,-,Dexs,5635823.951193151,aelf
sablier-lockup,Sablier Lockup,-,Payments,5606656.562772122,Ethereum;Base;Arbitrum;Sonic;Optimism;Polygon;Solana;Scroll;Linea;Binance;zkSync Era;Morph;Blast;Unichain;xDai;Avalanche;Superseed;Berachain;Abstract;CORE;Form Network;Sophon;LightLink;XDC;Hyperliquid L1;Chiliz;Sei;Mode
thena-integral,THENA INTEGRAL,THE,Dexs,5596582.786835664,Binance
sirius,Sirius,SIRS,Dexs,5565276.415783069,Tezos
maxshot,MaxShot,-,Onchain Capital Allocator,5509745.251633391,Arbitrum;Base;Ethereum
utonic,UTONIC,-,Liquid Staking,5505988.972041553,TON
affluent,Affluent,-,Lending,5496640.192149176,TON
biquid,Biquid,-,Liquid Staking,5493027.400061146,Bifrost Network
bitflow,Bitflow,-,Dexs,5475060.737756918,Stacks
lake-protocol,Lake Protocol,-,Yield,5456926.103146738,Sui
radiant-v2,Radiant V2,RDNT,Lending,5443829.757022372,Arbitrum;Base;Ethereum;Binance
keep3r-network,Keep3r Network,KP3R,Derivatives,5427887.468805728,Ethereum
parrot-protocol,Parrot Protocol,PRT,CDP,5393845.694056318,Solana
silo-v1,Silo V1,SILO,Lending,5365562.325638607,Arbitrum;Base;Ethereum;Optimism;Sonic
rss3-bridge,RSS3 Bridge,-,Canonical Bridge,5363435.037519411,Ethereum
llama-airforce,Llama Airforce,-,Yield,5340866.456337625,Ethereum
boson-protocol,Boson Protocol,BOSON,RWA,5332211.24418647,Polygon;Ethereum;Arbitrum;Optimism;Base
asseto-cash+,Asseto CASH+,-,RWA,5310210.738166749,Ethereum;Binance
qidao,QiDao,QI,CDP,5301572.2354398575,Polygon;Base;Ethereum;Optimism;Avalanche;Fantom;Linea;Arbitrum;Metis;Binance;xDai;Moonbeam;Moonriver;Harmony
synfutures-v3,SynFutures V3,F,Derivatives,5272584.4889446,Base;Blast
astros-perp,Astros Perp,-,Derivatives,5228422.053381198,Sui
ribbon,Ribbon,RBN,Options Vault,5227890.489577073,Ethereum;Solana;Avalanche;Binance
parcl-v3,Parcl V3,PRCL,Derivatives,5193956.885144038,Solana
thalaswap-v2,ThalaSwap V2,THL,Dexs,5183223.3343619555,Aptos
powercity-earn-protocol,POWERCITY Earn Protocol,EARN,CDP,5151779.122565586,Pulse
wombat-exchange,Wombat Exchange,WOM,Dexs,5111458.758793063,Binance;Arbitrum;Avalanche;Optimism;Base;Ethereum;Scroll
kintsu,Kintsu,-,Liquid Staking,5093806.319068065,Monad;Hyperliquid L1
acala-lcdot,Acala LCDOT,DOT,Liquid Staking,5049674.267356669,Acala
quickswap-v4,Quickswap V4,QUICK,Dexs,5034062.931023206,Base;Soneium;Somnia;Mantra;X Layer
merkle-trade,Merkle Trade,MKL,Derivatives,5011250.944579519,Aptos
gmx-v1-perps,GMX V1 Perps,GMX,Derivatives,4994355.961228697,Avalanche;Arbitrum
blueshift,Blueshift,BLUES,Dexs,4986688.119095233,BOB;Kava;Polygon;Milkomeda;Milkomeda A1
charm-finance-v2,Charm Finance V2,-,Liquidity manager,4983775.178033863,Berachain;Katana;Ethereum;Arbitrum;Base;Optimism;Polygon;Linea;Blast;Scroll;Boba
alien-base-v3,Alien Base V3,ALB,Dexs,4974171.038578795,Base
four.meme,four.meme,-,Launchpad,4969960.858306875,Binance
vitex,ViteX,VX,Dexs,4944710.11093622,Vite
pooltogether-v3,PoolTogether V3,POOL,Yield Lottery,4875943.134849261,Ethereum;Polygon;Celo;Binance
hop-protocol,Hop Protocol,HOP,Cross Chain Bridge,4870973.698266444,Ethereum;Arbitrum;Optimism;Polygon;Base;xDai;Arbitrum Nova
anyhedge,AnyHedge,-,Derivatives,4863333.4799999995,Bitcoincash
typus-dov,Typus DOV,-,Options Vault,4858436.53240508,Sui
metalx-dex,MetalX Dex,-,Dexs,4836052.148487179,Proton
polynomial-trade,Polynomial Trade,-,Derivatives,4832662.466903424,Optimism;Polynomial
dfs-network,DFS Network,DFS,Dexs,4831787.779379311,DFS Network;EOS
katana-dex-v3,Katana DEX V3,-,Dexs,4825855.102854238,Ronin
oroswap,OroSwap,-,Dexs,4816292.998605623,ZIGChain
blend-money,Blend Money,-,Onchain Capital Allocator,4797229.693628933,Botanix;Arbitrum;Scroll
zenrock-bridge,Zenrock Bridge,ROCK,Bridge,4763093.524021819,Bitcoin
bakeryswap,BakerySwap,BAKE,Dexs,4748164.727692466,Binance
aria-protocol,Aria Protocol,-,RWA,4740718.662928757,Story
soroswap,Soroswap,-,Dexs,4740487.1113652,Stellar
bumpin-trade,Bumpin Trade,-,Derivatives,4736924.18111057,Solana
strike-finance-perpetuals,Strike Finance Perpetuals,STRIKE,Derivatives,4731375.310290344,Cardano
hashport,Hashport,-,Bridge,4723376.807995077,Ethereum;Hedera;Avalanche;Binance;Polygon;Base;Arbitrum;Optimism;Cronos;Aurora;Moonbeam;Fantom
ambient,Ambient,-,Dexs,4682355.338100728,Scroll;Ethereum;Blast;Swellchain;Plume Mainnet;Canto
wrapped-hlp,Wrapped HLP,wHLP,Yield,4665873.076345126,Hyperliquid L1
almanak,Almanak,-,Onchain Capital Allocator,4655801.876533965,Ethereum;Base
thena-v1,THENA V1,THE,Dexs,4632455.766772103,Binance;Op_Bnb
mainstreet,Mainstreet,-,Basis Trading,4613560.159549681,Ethereum
chakra,Chakra,-,Restaked BTC,4602304.913999696,Bitcoin
unslashed,Unslashed,USF,Insurance,4563576.414587403,Ethereum
bemo-v1,bemo V1,-,Liquid Staking,4558600.103786636,TON
hypurrfi-isolated,HypurrFi Isolated,-,Lending,4538208.352651683,Hyperliquid L1
thala-cdp,Thala CDP,THL,CDP,4523879.1839329805,Aptos
surf-lending,Surf Lending,SURF,Lending,4504151.923032391,Cardano
sakefinance,SakeFinance,SONE,Lending,4493599.078126621,Soneium
pools-finance,Pools Finance,-,Dexs,4458328.254712662,IOTA
dexalot-dex,Dexalot DEX,ALOT,Dexs,4429475.646298774,Dexalot;Arbitrum;Avalanche;Base;Binance
hydrex-omni,Hydrex Omni,HYDX,Dexs,4421235.099108113,Base
ramses-cl,Ramses CL,RAM,Dexs,4417441.985023973,Hyperliquid L1;Arbitrum
kiloex,KiloEx,KILO,Derivatives,4402265.024886931,Base;Binance;Op_Bnb;Manta;BSquared;Taiko
echo-strategy,Echo Strategy,-,Yield Aggregator,4400821.600023597,Aptos
carbon-defi,Carbon Defi,-,Dexs,4358736.863252187,Celo;Sei;Ethereum;Coti;TAC
