slug,name,symbol_llama,category_llama,tvl,chains_llama
cryptodickbutts,CryptoDickbutts,-,Services,0.0,
cryptoo-tech,Cryptoo Tech,-,SoFi,46.65571799280892,Arbitrum
cryptoswap,CryptoSwap,CST,Dexs,2826.134607597239,Binance
cryptoyieldfocus,CryptoYieldFocus,CYF,Farm,3377.7539347178354,Avalanche
crystalvale,Crystalvale,CRYSTAL,Dexs,1260089.0640376862,DFK
crystl-finance,Crystl Finance,CRYSTL,Yield,297511.6779611075,Binance;Cronos;Polygon
csigma-finance,cSigma Finance,SIGMA,RWA Lending,11897832.03375547,Arbitrum;Ethereum;Hedera;Base
csix,CSIX,CSIX,Security Extension,0.0,Binance
csrfi,CSRfi,-,Yield,8.432259127180759,Canto
cswap,cSwap,-,Dexs,10691.212669678387,Comdex
cswap-dex,CSWAP DEX,CSWAP,Dexs,890744.4830774043,Cardano
ctez,ctez,CTEZ,Dexs,200685.25522123865,Tezos
cthulhu.finance,Cthulhu.Finance,CTH,Yield Aggregator,0.0588177428820368,Optimism
cuanswap,CuanSwap,CUAN,Dexs,13.492689871499117,CORE
cub-finance,Cub Finance,CUB,Farm,247314.13336173247,Binance
cubiswap,CUBISwap,CUBI,Dexs,65667.02661085424,Op_Bnb
cubo,Cubo,CUBO,Yield,0.0,Polygon
cupid-farm,Cupid Farm,ARROWS,Yield,149.26400249625485,Fantom
curve-dex,Curve DEX,CRV,Dexs,2092727661.8327456,Ethereum;Arbitrum;Monad;Fraxtal;Base;Etherlink;Polygon;X Layer;xDai;Plasma;Avalanche;Sonic;Optimism;XDC;TAC;Binance;Hyperliquid L1;Kava;Unichain;Corn;Plume Mainnet;Taiko;Celo;Aurora;Moonbeam;Fantom;Ink;Stable;Mantle;Harmony
curve-llamalend,Curve LlamaLend,CRV,Lending,92901700.85838205,Ethereum;Arbitrum;Fraxtal;Optimism
curves-protocol,Curves Protocol,-,SoFi,229.78854960062205,Form Network
cvault-finance,cVault Finance,CORE,Yield,7955625.480700781,Ethereum
cvi-finance,CVI Finance,GOVI,Synthetics,131849.5351964271,Ethereum;Polygon;Arbitrum
cyber,Cyber,CYBER,Chain,1018421.9342299176,Ethereum
cyber-dog,Cyber Dog,CBRDOG,Yield,1163.059062696455,Cronos
cyberblast-v2,Cyberblast V2,CBR,Dexs,737.6956572034419,Blast
cyberblast-v3,Cyberblast V3,CBR,Dexs,8259.737264938729,Blast
cyberconnect,CyberConnect,CYBER,SoFi,,
cyberfantasyfembots,CyberFantasyFembots,SAFE,Yield,179.29436167472005,Polygon
cyberperp,Cyberperp,CYB,Derivatives,105432.8875190638,IOTA EVM
cyberswap,CyberSwap,-,Dexs,23178.127320501488,Cyber
cybertime,CyberTime,CTF,Services,52085.40985501892,Binance
cyborgswap,CyborgSwap,CBO,Dexs,27867.861074018572,Cronos
cybro,Cybro,CYBRO,Yield Aggregator,144824.36405121168,Arbitrum;Blast;Base;Binance
cycle-finance,Cycle Finance,CYCLE,Yield Aggregator,33773.37600584979,Avalanche
cyclo,Cyclo,-,Derivatives,446150.3586593505,Flare
cyclone,Cyclone,CYC,Yield,1608276.9817892113,Ethereum;Binance;IoTeX;Polygon
cygnusdao,CygnusDAO,CYG,Lending,2340.883917735682,Polygon zkEVM;Polygon;Arbitrum
cykura,Cykura,CYS,Dexs,20219.42581626165,Solana
cypher,Cypher,-,Derivatives,0.0,Solana
cytonic-airdrop-campaign,Cytonic Airdrop Campaign,-,Farm,877257.9073143392,Ethereum;Arbitrum;Base;Solana;Binance;Manta;Optimism;Polygon;Blast;Avalanche;BSquared
cytoswap,cytoswap,-,Dexs,18777.23493055131,HeLa
czodiac,CZODIAC,CZRED,Yield,90.85004160367176,Binance
d2-finance,D2 Finance,-,Onchain Capital Allocator,9092773.64294816,Arbitrum;Hyperliquid L1;Base;Berachain;Ethereum
d8x,D8X,D8X,Derivatives,9296.795590174206,Berachain;Arbitrum;Base;X Layer;Polygon zkEVM
dackieswap-v2,DackieSwap V2,DACKIE,Dexs,39543.89943011061,Base;Arbitrum;Optimism;Mode;X Layer;Blast;inEVM;World Chain;Linea;Unichain;Ethereum
dackieswap-v3,DackieSwap V3,DACKIE,Dexs,61208.23996367271,Base;X Layer;Arbitrum;Optimism;Mode;inEVM;World Chain;Blast;Linea;Ethereum;Unichain
dahlia,Dahlia,-,Lending,4228.7961745142675,Berachain
daikodex,DaikoDEX,-,Dexs,3125.2509549702445,Taiko
dalmatian,Dalmatian,DAL,Dexs,327.603658322705,Shibarium
dam-finance,DAM Finance,d2O,CDP,12478.7401328921,Ethereum
damm-finance,dAMM Finance,-,Uncollateralized Lending,26414.670272571348,Ethereum
damx,DAMX,DMX,Derivatives,542.6433731506025,Fantom
danogo,Danogo,-,Dexs,12653748.122270362,Cardano
danzo-app,Danzo App,DANZO,Gaming,0.0,Cardano
dao-maker-vesting,DAO Maker Vesting,DAO,Services,0.0,Ethereum;Binance;Polygon;Fantom;Step;Celo
dao-swap,DAO Swap,DAO,Dexs,53822.14865469816,Binance
daolama,DAOLama,-,Lending,103266.26962395111,TON
daoventures,DAOventures,DVD,Yield,10243.545298487596,Ethereum
dapp-account-dao,Dapp Account DAO,DAD,Yield,726.8479810148167,EOS
dappos-intentex,dappOS IntentEX,-,Dexs,,
dark-matter,Dark Matter,DMD,Farm,773.5992463332827,Fantom
darkauto,DarkAuto,-,Yield Aggregator,32649.707457187335,Cronos;Dogechain
darkcrypto,DarkCrypto,DARK,Algo-Stables,30147.926548696694,Cronos
darkness,Darkness,NESS,Dexs,8775.840563065603,Cronos
darkswap,DarkSwap,DAS,Dexs,1095.1979719989845,Dogechain
darumadao,DarumaDAO,DRM,Reserve Currency,0.0,Godwoken
datadex,DataDex,-,Dexs,1547132.2498273486,Vana
datamine-network,Datamine Network,-,Reserve Currency,0.0,Ethereum;Arbitrum
davincigraph,DaVinciGraph,DAVINCI,Token Locker,1851744.0,Hedera
davos-protocol,Davos Protocol,-,CDP,125197.72864783628,Binance;Ethereum;Polygon;Linea;Arbitrum;Optimism;Polygon zkEVM;Mode
dawn-star-finance,Dawn Star Finance,DSF,Algo-Stables,0.0,Polygon
daytona-finance,Daytona Finance,TONI,Dexs,60061.7408031463,Pulse
dbx-finance,DBX Finance,DBX,Dexs,1334.4717055958129,Arbitrum
dddx,DDDX,DDDX,Dexs,9856.43784822221,Binance
ddex,DDEX,-,Dexs,2317402.931331525,Ethereum
debank-cloud,DeBank Cloud,-,Developer Tools,,
debets,Debets,-,Prediction Market,7.896338537706045,Polygon;Fantom
debridge,deBridge,DBR,Bridge,25049379.544515476,Binance;Ethereum;Arbitrum;Polygon;Heco;Sei
debtdao,DebtDAO,-,Lending,0.0,Ethereum
decentralized-euro,Decentralized Euro,-,CDP,1453077.4148730151,Ethereum
decryption,Decryption,X,Dexs,0.0,Tlchain
decubate,Decubate,DCB,Launchpad,0.0,Binance
dedust,DeDust,DUST,Dexs,6448404.404334256,TON
deepbook-v2,DeepBook V2,DEEP,Dexs,0.0,Sui
deepbook-v3,DeepBook V3,DEEP,Dexs,12315484.801850276,Sui
deeplock,DeepLock,DEEP,Launchpad,3081633.8353347583,Binance
deeppdao,DeeppDAO,DEEPP,Prediction Market,3952.4109814428152,Arbitrum
deepr-finance,Deepr Finance,DEEPR,Lending,1050273.13505892,IOTA EVM;ShimmerEVM
deepseadao,DeepSeaDAO,SEA,Reserve Currency,0.4468463679033729,Avalanche
deerfi,DeerFi,-,Lending,172.230260079251,Ethereum
defender-finance,Defender Finance,SWDB,Algo-Stables,0.0,Binance
defi-app,Defi App,HOME,DEX Aggregator,,
defi-dollar,DeFi Dollar,-,CDP,514309.8493072038,Ethereum
defi-franc,DeFi Franc,DCHF,CDP,319174.78817160695,Ethereum
defi-halal,Defi Halal,HALAL,CDP,23.60512555731984,Polygon
defi-kingdoms,Defi Kingdoms,JEWEL,Dexs,243088.5471318628,Harmony;Klaytn
defi-master,Defi Master,BST,Yield,24.71848725073847,Arbitrum
defi-saver,Defi Saver,-,CDP Manager,261563640.51650843,Ethereum;Arbitrum;Optimism;Base
defi-swap,Defi Swap,CRO,Dexs,1247777.157446155,Ethereum
defi-yield-protocol,Defi Yield Protocol,DYP,Yield,845.8539533270696,Ethereum;Avalanche;Binance
defi.money,defi.money,-,CDP,7021.4943539340575,Optimism;Arbitrum;Base
defiato,DeFiato,DFIAT,Services,0.0,
defibox,DefiBox,BOX,Dexs,1342303.5074573143,EOS;Binance;Wax
defichain-dex,DefiChain DEX,DFI,Dexs,1520596.3465436448,DefiChain
defichain-loans,DefiChain Loans,DFI,Synthetics,536718.2008667235,DefiChain
deficurrent,DefiCurrent,-,Yield Aggregator,423.7115008586934,Arbitrum;Avalanche;Ethereum
defidash-agent,Defidash Agent,DEFIDASH,Telegram Bot,1.0905693353298225,Base
defidollar-dao,DefiDollar DAO,DFD,Algo-Stables,1044134.1617971964,Ethereum
defiedge,DefiEdge,-,Liquidity manager,878329.8333478232,Binance;Polygon;Arbitrum;Linea;Base;Optimism;Avalanche;Ethereum;X Layer;zkSync Era;Polygon zkEVM;Astar zkEVM;Moonbeam;Mantle
defil,DeFIL,DFL,Lending,1766085.876559412,Ethereum;Binance
defily,Defily,DFL,Yield,0.0,Binance;Harmony;Kardia
defily-dex,Defily Dex,DFL,Dexs,0.0,Onus
definer,DeFiner,FIN,Lending,464.6027910078731,Polygon;Ethereum;OKExChain
definitely,Definitely,-,SoFi,258.92229308204526,Arbitrum;Sei
definitive,Definitive,EDGE,DEX Aggregator,101396.2161807032,
definix,Definix,FINIX,Dexs,599767.8597477598,Binance;Klaytn
defiplaza,DefiPlaza,DFP2,Dexs,222519.78221824905,Radix;Ethereum
defirex,Defirex,DFX,Yield,5483.639834046209,Ethereum
defituna-amm,DefiTuna AMM,TUNA,Dexs,12875312.663615707,Solana
defituna-lending,DefiTuna Lending,TUNA,Lending,7745559.990335482,Solana
defituna-liquidity,DefiTuna Liquidity,TUNA,Liquidity manager,16071535.294600056,Solana
defive,DeFive,FIVE,Dexs,355688.8371657544,Sonic
defiway,Defiway,DEFI,Wallets,,
deflex,Deflex,-,DEX Aggregator,25.704842730772192,Algorand
defo,DeFO,-,SoFi,30.761646732102633,Base
defrost,Defrost,MELT,CDP,81899.96133779462,Avalanche
defusion,deFusion,DEF,Liquid Staking,1582075.019673349,TomoChain
defx,Defx,-,Derivatives,1242024.3156559789,Ethereum;Arbitrum;Polygon;Base;Binance;Solana
defyswap,DefySwap,DFY,Dexs,98.25112206817457,Fantom;Echelon
degate,DeGate,DG,Dexs,159.33555956510062,Ethereum
degen-bridge,Degen Bridge,-,Canonical Bridge,812029.5683146667,Base
degen-express,Degen Express,-,Launchpad,279.39408332980724,Sonic
degen-haus,Degen Haus,DOPE,Dexs,2985.128195182919,Fantom
degendex,DegenDex,-,Dexs,1029.9495199420403,Dogechain;Binance
degenfund,DegenFund,DFund,Farm,0.0,Degen
degenhive-amm,DegenHive AMM,-,Dexs,168.92083697027232,Sui
degenhive-lst,DegenHive LST,-,Liquid Staking,302.6559937840636,Sui
degenhive-memepad,DegenHive Memepad,-,Launchpad,38.72017136727093,Sui
degenprime,DegenPrime,-,Leveraged Farming,147301.69429151507,Base
degenswap,DegenSwap,DSWAP,Dexs,89.11643138815538,Degen
dego-finance,Dego Finance,DEGO,Services,11148.963892375024,Ethereum
dehive,DeHive,DHV,Indexes,3000.5199376259097,Polygon;Binance;xDai;Ethereum
delea,Delea,-,CDP,3614004.3668362135,TON
delegate-marketplace,Delegate Marketplace,-,Services,1129.2610002221882,Ethereum
delta-financial,Delta Financial,DELTA,Options,0.0,Ethereum
deltafi,DELTAFi,DELTA,Synthetics,152.32644524098984,WEMIX
deltaprime,DeltaPrime,PRIME,Leveraged Farming,7330163.211773988,Avalanche;Arbitrum
deltaswap,DeltaSwap,GS,Dexs,4233805.77254351,Arbitrum;Base;Ethereum
deltatheta,DeltaTheta,DLTA,Options,2181.9855400468387,Binance;Polygon
deltatrade,DeltaTrade,-,Dexs,118831.39595501088,Near;Solana
delv-yield,DELV Yield,-,Yield,1073321.509209681,Ethereum
delysium,Delysium,AGI,Chain,,
demented-games,Demented Games,-,Prediction Market,,
demeter,Demeter,-,Lending,290664.6282827447,Binance;Heco
demex-amm,Demex AMM,-,Dexs,,
demex-perp,Demex Perp,-,Derivatives,576061.4655954331,Carbon
demodyfi,Demodyfi,DMOD,Dexs,120.71607539582143,Ethereum;Moonbeam;Binance
denario,Denario,-,RWA,2056532.059618704,Polygon
denet-file-token,DeNet File Token,DE,Services,0.0,Polygon
dengendex,DengenDex,DDD,Dexs,0.0,Degen
depth,Depth,DEP,Dexs,1233992.5651144737,Binance;Heco
deq,Deq,-,Liquid Staking,210065.2152500915,Ethereum
deri-protocol,Deri Protocol,DERI,Options,309391.6705929927,Binance;Arbitrum;zkSync Era;Polygon
deri-v4,Deri V4,DERI,Options,10320251.7758045,Linea;Binance;Base;zkSync Era;Supra;Arbitrum;Sonic;Polygon zkEVM;Taiko;Blast;Manta;Scroll
deribit,Deribit,-,CEX,4045729811.30004,Bitcoin;Ethereum;Solana;Ripple;EthereumPoW;Binance
deridex,Deridex,-,Derivatives,187.4086783872766,Algorand
derify-protocol,Derify Protocol,DRF,Dexs,50.12348035220016,Binance
derivadex,DerivaDEX,DDX,Derivatives,1473369.4556473985,Ethereum
derive-options,Derive Options,DRV,Options,,
derive-v1,Derive V1,DRV,Options,1091955.10648954,Optimism;Ethereum;Arbitrum
derive-v2,Derive V2,DRV,Derivatives,72185221.62014745,Ethereum;Optimism;Arbitrum;Base;Blast;Mode
derivio,Derivio,-,Derivatives,126672.1877297616,zkSync Era
derpdex,DerpDEX,-,Dexs,29960.549265562902,zkSync Era;Op_Bnb;Base
desk-clob,DESK CLOB,-,Interface,11998.00469059608,Arbitrum
desk-perps,DESK Perps,-,Derivatives,0.0,Base;Binance;Arbitrum
desyn-basis-trading,DeSyn Basis Trading,-,Basis Trading,11697789.48430084,Bitlayer;Mode;CORE;AILayer;BSquared;Hemi;Binance;Goat;Plume Mainnet;Arbitrum;zkLink;Linea;Merlin;Scroll;exSat;HashKey Chain
desyn-liquid-strategy,DeSyn Liquid Strategy,-,Yield Aggregator,34.824253708216496,Arbitrum;Mode;CORE;AILayer;BSquared;Hemi;Binance;Goat;Plume Mainnet;Bitlayer;zkLink;Linea;Merlin;Scroll;exSat;HashKey Chain
desyn-safe,DeSyn Safe,-,Farm,9010.024048668034,zkLink;Merlin;Bitlayer;Arbitrum;Mode;CORE;AILayer;BSquared;Hemi;Binance;Goat;Plume Mainnet;Linea;Scroll;exSat;HashKey Chain
detto-finance,Detto Finance,DETO,Farm,5669.340971295131,Base
deus-finance,DEUS Finance,DEUS,CDP,0.0,Ethereum;Polygon;Fantom
dev-protocol,Dev Protocol,DEV,Yield,0.0,Ethereum
devil-finance,Devil Finance,DEVIL,Yield,0.0,Fantom
devve,DevvE,DEVVE,Launchpad,0.0,Ethereum
dex-screener,DEX Screener,-,Coins Tracker,,
dexalot-dex,Dexalot DEX,ALOT,Dexs,4429475.646298774,Dexalot;Arbitrum;Avalanche;Base;Binance
dexalot-portfolio,Dexalot Portfolio,ALOT,Bridge,9789951.92397036,Avalanche;Arbitrum;Base;Binance;Ethereum
dexari,Dexari,-,Interface,,
dexfinance-bsc,DexFinance BSC,dexSHARE,Yield Aggregator,0.0281876126133578,Binance
dexfinance-etf,DexFinance ETF,GDEX,Yield,16818.79869170021,Base;Arbitrum;Binance;Pulse;Manta;Avalanche;Optimism;Fantom
dexhunter,DexHunter,HUNT,DEX Aggregator,,
dexible-v2,Dexible V2,-,DEX Aggregator,0.0,
dexilla,Dexilla,-,Dexs,149.0271254030552,zkSync Era;Mode;Optimism;Arbitrum;Base
dexioprotocol,Dexioprotocol,DEXI,Gaming,0.0,Polygon;Kava
dexit-finance-swap,Dexit Finance Swap,DXT,Dexs,0.0,Dexit
dexland,Dexland,DXL,Dexs,1.2209500537409264,CORE
dexlyn-labs,Dexlyn Labs,-,Dexs,171956.3051805111,Supra
dexodus-finance,Dexodus Finance,-,Derivatives,1.3020068307311892,Base;Cronos;Ethereum;Binance
dexpad,DexPad,DxP,Launchpad,42856.48882594773,Cronos;Polygon;Avalanche;Kava
dexswap,dexSWAP,GDEX,Dexs,308.46742581822076,Arbitrum
dexter-exchange,Dexter Exchange,-,Dexs,21693.001474139714,Tezos
dextools,DEXTools,DEXT,Coins Tracker,,
dextoro,DexToro,DTR,Trading App,,
dextrabot,dextrabot,-,Interface,,
dexvaults,dexVAULTS,GDEX,Yield,21499.557273248807,Base;Pulse;Manta;Arbitrum;Optimism;Binance;Avalanche;Fantom
dezswap,Dezswap,-,Dexs,357350.3423097349,XPLA
dfdv-staked-sol,DFDV Staked SOL,-,Liquid Staking,56459490.98067211,Solana
dforce,dForce,DF,Lending,1025424.8374788422,Ethereum;Binance;Arbitrum;Optimism;Polygon;Conflux;Avalanche;Kava
dfs-network,DFS Network,DFS,Dexs,4831787.779379311,DFS Network;EOS
dfx-v2,DFX V2,DFX,Dexs,85906.7908878752,Ethereum;Polygon;Arbitrum
dfx-v3,DFX V3,DFX,Dexs,39226.76539272433,Ethereum;Polygon;Arbitrum
dfyn-network,Dfyn Network,DFYN,Dexs,478628.8379886413,Polygon;Fantom;OKExChain
dhedge-vaults,dHEDGE Vaults,DHT,Indexes,20612619.0086878,Base;Optimism;Arbitrum;Polygon;Ethereum
diamond-coin,Diamond Coin,DIAMOND,Gaming,0.0,Fantom
diamond-protocol-v1,Diamond Protocol V1,-,Yield,14728.693361043834,Arbitrum;Optimism;Ethereum
diamond-protocol-v2,Diamond Protocol V2,-,Liquidity manager,8280.228466207083,Arbitrum;Binance
diamondswap,Diamondswap,-,Dexs,404797.1117776089,Odyssey;Base;Ethereum;Binance;Avalanche
dibs-money,Dibs Money,DIBS,Algo-Stables,0.0,Binance
diesel-dex,Diesel Dex,-,Dexs,13565.433825133465,Fuel
diffusion-finance,Diffusion Finance,DIFF,Dexs,30278.20557942809,Evmos
digift,DigiFT,-,RWA,136093463.4084785,Ethereum;Plume Mainnet;Binance;Arbitrum
dinari,Dinari,-,RWA,45423252.94634685,Arbitrum;Ethereum;Kinto;Base;Plume Mainnet;Blast
dinero-(pxeth),Dinero (pxETH),-,Liquid Staking,21567744.00463876,Ethereum
dino.exchange,Dino.Exchange,DINO,Dexs,7578.05143348971,Binance
dinopool,DinoPool,DINOP,Algo-Stables,0.0,Cronos
dinosaur-eggs,Dinosaur Eggs,DSG,Dexs,939589.8294237116,Binance
dinosaur.finance,Dinosaur.Finance,DINO,Yield Aggregator,0.1355459385114282,Arbitrum
dinoswap,DinoSwap,DINO,Dexs,29377.70014194216,Polygon
dinotopia-finance,Dinotopia Finance,FOSSIL,Algo-Stables,1.2392616975634154,Binance
dios-finance,Dios Finance,DIOS,Reserve Currency,6.381668196237556e-10,Binance
dip-exchange,DIP Exchange,DIP,Derivatives,5354.1781849901345,Base
dirac-finance,Dirac Finance,-,Options Vault,2084.0131689550967,Polygon zkEVM
direct-exchange,Direct Exchange,-,Dexs,0.0,Kava
ditto,Ditto,-,Liquid Staking,91193.06480035752,Aptos
diviswap,DiviSwap,-,Dexs,20049.8494292712,Chiliz
divvy.bet,Divvy.Bet,DVY,Prediction Market,135786.76146313775,Solana
djed-stablecoin,Djed Stablecoin,-,Dual-Token Stablecoin,12749767.616860151,Cardano
dmd-finance,DMD Finance,DMD,Yield,142864.92574462038,EOS
dna,DNA,DNA,Farm,0.0,World Chain
dna-dollar,DNA Dollar,DNA,Algo-Stables,0.0,Cronos
dodo-agg,DODO Agg,DODO,DEX Aggregator,,
dodo-amm,DODO AMM,DODO,Dexs,18519902.99214412,Binance;Ethereum;Avalanche;Arbitrum;Base;Polygon;HashKey Chain;Zircuit;Aurora;Manta;Scroll;Linea;Optimism;Hemi;Mantle
doge-compounder,Doge Compounder,-,Yield Aggregator,83.00792738914932,Dogechain
doge-shrek,Doge Shrek,DOGESHREK,Dexs,0.0,Dogechain
dogeclaw,DogeClaw,CLAW,Gaming,9.983594417415787,OKExChain
dogecoin,Dogecoin,DOGE,Chain,,
dogedollar,DogeDollar,DUSD,Dual-Token Stablecoin,4749.2988171332745,Dogechain
dogemuskswap,DogeMuskSwap,DMUSK,Dexs,798.2693616506062,Dogechain
dogepup,DogePup,DOGEPUP,Farm,64.44102360328748,Dogechain
dogeswap,Dogeswap,DOGES,Farm,0.0,Ethereum
dogeswaporg,DogeSwapOrg,-,Dexs,988184.51549676,Dogechain
dogewhale,Dogewhale,DOGEWHALE,Reserve Currency,42.331549012708315,Binance
dogium-farm,Dogium Farm,DOGIUM,Dexs,71.75801500349084,Dogechain
doglands-swap,Doglands Swap,GIL,Dexs,0.0,Dogechain
dogmoney,DogMoney,DOGMONEY,Dexs,5036.423679332644,Dogechain
dogs-of-elon,Dogs of Elon,DOE,Farm,0.0,Ethereum;Arbitrum
dogswap,DogSwap,-,Dexs,7494.536909801603,Shibarium
dojoswap-amm,Dojoswap AMM,DOJO,Dexs,396669.6197138184,Injective
dojoswap-lsd,Dojoswap LSD,DOJO,Liquid Staking,85888.44584938214,Injective
doki-doki-finance,Doki Doki Finance,DOKI,Yield,0.0,Polygon;Ethereum
dolomite,Dolomite,DOLO,Lending,112614064.2348952,Arbitrum;Berachain;Ethereum;Botanix;Polygon zkEVM;Mantle;X Layer
dolphinswap,DolphinSwap,DOP,Dexs,2609.004939011932,EOS
domani-protocol,Domani Protocol,DEXTF,Indexes,168328.93054610468,Ethereum;zkSync Era;Avalanche
domination-finance,Domination Finance,-,Synthetics,42472.29141558669,Polygon;Ethereum;Boba
donaswap-v2,DONASWAP V2,-,Dexs,1.0180186883660742,Dogechain;Binance;Polygon;Base;CMP;Heco;CORE;Ethereum;Aurora;Palm;Fantom;Conflux;Avalanche;Kardia;Kava;Polygon zkEVM;Metis;Fuse;Linea;Celo;Flare;Kucoin;Arbitrum;ThunderCore;Astar;Moonbeam;Optimism;Moonriver;Fusion
donkeswap,Donkeswap,-,Dexs,732.3043520497213,Sei
dont-fomo,Dont FOMO,-,Farm,0.0,Matchain
dooar,DOOAR,-,Dexs,6096744.935059087,Solana;Binance
doora-inu,Doora Inu,DINU,Yield,67.18408441586276,Arbitrum
dopin-protocol,Dopin Protocol,-,Dexs,5.952788353278127,Xphere;Taraxa
dopple-finance,Dopple Finance,DOP,Algo-Stables,163367.3375333993,Binance;Fantom;Harmony
doppler-finance,Doppler Finance,-,CeDeFi,86559986.99409328,Ripple;Ethereum
dorian,Dorian,-,Lending,64.90548188221656,CORE
dot-dot-finance,Dot Dot Finance,DDD,Yield,35525.74896062838,Binance
dotoracle,DotOracle,DTO,Bridge,46491.76759602306,Ethereum;Binance;Avalanche;Moonbeam;OKExChain
double,Double,-,Yield,33680.83931776446,Arbitrum
double-club,Double Club,DOU,Yield Aggregator,373.3580844200047,Binance
doubler,Doubler,-,Derivatives,204656.9744367052,Arbitrum;Manta
doubleup,DoubleUp,UP,Luck Games,4165352.273405573,Sui
dough-finance,Dough Finance,-,Lending,1956.718899114055,Ethereum
dove-swap-v2,Dove Swap V2,DOV,Dexs,216.8233625351588,Polygon zkEVM
dove-swap-v3,Dove Swap V3,DOV,Dexs,76208.30924743986,Polygon zkEVM
dpex,DPEX,DPEX,Derivatives,12347.10885200566,Polygon
drachma,Drachma,DRACHMA,Dexs,5278.263565405738,Metis
drachma-exchange,Drachma Exchange,DRA,Dexs,0.0,Solana
draco-finance,Draco Finance,DRACO,Algo-Stables,0.0,Fantom
draco-force,Draco Force,DRC,Yield Aggregator,198.4615309245004,Fantom
dracula,Dracula,DRC,Yield Aggregator,0.0,Ethereum
dracula-finance,Dracula Finance,FANG,Dexs,8420.26971423312,zkSync Era
dradex,Dradex,-,Dexs,1831.9730302793107,Solana
dragon-protocol,Dragon Protocol,DRAGON,Farm,0.0,Base
dragon-swap-v2-sei,Dragon Swap V2 Sei,DRG,Dexs,2039283.940634144,Sei
dragon-swap-v3-sei,Dragon Swap V3 Sei,-,Dexs,13375387.01741574,Sei
dragonfruit-protocol,Dragonfruit Protocol,DFRUIT,Farm,0.0,Dogechain
dragonswap-v2-kaia,DragonSwap V2 Kaia,-,Dexs,114754.8037098001,Klaytn
dragonswap-v3-kaia,DragonSwap V3 Kaia,-,Dexs,4167730.385554991,Klaytn
drawtech,Drawtech,-,SoFi,2583.691874257331,Base
dre-finance,Dre Finance,DRE,Reserve Currency,146.56259384455038,Sonic
drift-amm,Drift AMM,DRIFT,Dexs,,
drift-staked-sol,Drift Staked SOL,DRIFT,Liquid Staking,229965523.50314912,Solana
drift-trade,Drift Trade,DRIFT,Derivatives,484489278.5445193,Solana
drip,Drip,DRIP,Yield,0.0,Binance
drip.trade,Drip.Trade,-,NFT Marketplace,,
dripit,dripit,-,Prediction Market,5401.768718250941,Avalanche
drop,Drop,-,Liquid Staking,15002619.76285042,Neutron
dropcopy,DropCopy,DROP,Prediction Market,10.699496351762477,Solana
droplit-protocol,Droplit Protocol,LIT,Algo-Stables,0.0,Binance
drops,Drops,DOP,NFT Lending,17397.19601604669,Ethereum
dsf.finance,DSF.Finance,-,Yield,1119015.4886962818,Ethereum
dsu-money,DSU Money,ESS,CDP,761940.5812643489,Arbitrum;Ethereum
dsx,DSX,-,Telegram Bot,,
dtrinity-dlend,dTRINITY dLEND,-,Lending,1186620.2267620096,Fraxtal;Sonic
dtrinity-dusd,dTRINITY dUSD,-,Partially Algorithmic Stablecoin,428635.6431720053,Sonic;Fraxtal;Katana
dtx-derivatives,DTX Derivatives,-,Derivatives,58.099333542627505,Blast;Taiko
dtx-dex,DTX Dex,-,Dexs,7259.065973312543,Taiko
dtx-dex-v3,DTX Dex V3,-,Dexs,2504.2890774810003,Taiko
dual-finance,Dual Finance,DUAL,Options,2276770.4781269436,Solana
duality,Duality,-,Dexs,3147591.70097471,Neutron
dubble-exchange,Dubble Exchange,DUB,Yield,77.28566327430104,Arbitrum
ducata,Ducata,DUCA,Yield,0.0,Arbitrum
duckgang,DuckGang,-,Farm,1820.346784411556,Sei
duckpools,duckpools,QUACKS,Lending,152114.252283331,Ergo
duckswap,DuckSwap,-,Dexs,11994.583341552268,DuckChain
ducky-city-sofi,Ducky City SOFI,DCE,SoFi,5716.126642396189,Base
duckydefi,DuckyDeFi,DEGG,Dexs,28794.625159343566,Cronos
duet-protocol,Duet Protocol,DUET,Synthetics,37055.0773626629,Arbitrum;Binance
dumpex,DumpEX,-,Farm,6.900972725731524,xDai;Binance;Blast;Linea;Ethereum;Base;Optimism;Arbitrum;Avalanche;Polygon;Fantom
dunes,Dunes,-,Liquid Restaking,5404.568241618492,Ethereum
duneswap,DuneSwap,DUNE,Dexs,21641.045262624863,Oasis
dungeonswap,DungeonSwap,DND,Yield,11996.479929039217,Binance
dusa-protocol,Dusa Protocol,-,Dexs,27022.557512105617,Massa
dvol,dVOL,-,Options Vault,36.97274212867505,Arbitrum;Binance
dx25,DX25,-,Dexs,14097.569458827507,Elrond
dxdao,DXDao,DXD,Services,0.0,
dxsale,DxSale,DX,Launchpad,39124403.869559325,Binance;Ethereum;Base;Arbitrum;Polygon;Avalanche;Kucoin;CORE;Fantom;Omax;Pulse;zkSync Era;Cronos;Dogechain;Harmony;Milkomeda;Celo;xDai;Moonriver;smartBCH;Dexit;OKExChain
dyad,DYAD,-,CDP,65511.24541812074,Ethereum
dydx-v3,dYdX V3,DYDX,Derivatives,41380874.96331107,Ethereum
dydx-v4,dYdX V4,dYdX,Derivatives,156369149.17020056,dYdX
dymension,Dymension,DYM,Chain,,
dymension-dex,Dymension DEX,-,Dexs,1695220.254305912,Dymension
dynastyswap,DynastySwap,-,Dexs,880.2323454883615,Pulse
