case_name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,exploit_dt,exploit_date_iso,case_id,protocol_id
Midas Capital,1/17/23,Ecosystem,Flashloan Reentrancy Attack,660000.0,Polygon,False,DeFi Protocol,,1925.0,Solidity,https://rekt.news/midas-capital-rekt/,,2023-01-17,2023-01-17,midas-capital__2023-01-17__8a566084,defillama#1925
Dough Finance,7/12/24,Protocol Logic,Unvalidated call data exploit,1960000.0,Ethereum,False,DeFi Protocol,,5109.0,Solidity,https://cointelegraph.com/news/dough-finance-loses-1-8m-flash-loan-attack,,2024-07-12,2024-07-12,dough-finance__2024-07-12__af2b11d5,defillama#5109
ParaSpace Lending V1,3/17/23,Protocol Logic,Borrow Logic Exploit,5000000.0,Ethereum,False,NFTfi,5000000.0,2517.0,Solidity,https://twitter.com/BlockSecTeam/status/1636650252844294144?s=20,,2023-03-17,2023-03-17,paraspace-lending-v1__2023-03-17__93b6994c,defillama#2517
Solareum,3/29/24,Infrastructure,Private Key Compromised (Social Engineering),1400000.0,Solana,False,DeFi Protocol,,,Move,,,2024-03-29,2024-03-29,solareum__2024-03-29__299f7003,name#solareum
Kame Aggregator,9/12/25,Protocol Logic,swap() Function Flaw,1300000.0,Sei,False,DeFi Protocol,,,,https://x.com/kame_agg/status/1967782820589568114,,2025-09-12,2025-09-12,kame-aggregator__2025-09-12__f4d07096,name#kame-aggregator
Cardex,2/18/25,Infrastructure,Private Key Compromised (Session signer),400000.0,Abstract,False,DeFi Protocol,,,Solidity,https://x.com/0xCygaar/status/1891948692204368122,,2025-02-18,2025-02-18,cardex__2025-02-18__3fa177ca,name#cardex
Munchables,3/26/24,Protocol Logic,Storage Slot Exploit,62500000.0,Blast,False,Gaming,,4369.0,Solidity,https://twitter.com/_munchables_/status/1772739713687752761,,2024-03-26,2024-03-26,munchables__2024-03-26__6005d91c,defillama#4369
Ronin Bridge,3/23/22,Infrastructure,Private Key Compromised (Social Engineering),624000000.0,Ethereum,True,DeFi Protocol,,4440.0,,https://roninblockchain.substack.com/p/back-to-building-ronin-security-breach,,2022-03-23,2022-03-23,ronin-bridge__2022-03-23__dec14498,defillama#4440
Superfluid,2/8/22,Protocol Logic,CTX Exploit,8700000.0,Polygon,False,DeFi Protocol,,693.0,Solidity,https://rekt.news/superfluid-rekt/,,2022-02-08,2022-02-08,superfluid__2022-02-08__d095828c,defillama#693
Earning.Farm,8/9/23,Protocol Logic,Reentrancy,540000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://twitter.com/CyversAlerts/status/1689193286420795393,,2023-08-09,2023-08-09,earning-farm__2023-08-09__1945e063,name#earning-farm
Fortress Loans,5/8/22,Protocol Logic,Governance and Oracle Exploit,3000000.0,BSC,False,DeFi Protocol,,2177.0,Solidity,https://rekt.news/fortress-rekt/,,2022-05-08,2022-05-08,fortress-loans__2022-05-08__4c058729,defillama#2177
Corepound,9/23/25,Rugpull,Drained Contracts,430000.0,CORE,False,DeFi Protocol,,5952.0,,https://x.com/coreecosystem/status/1970584860516651113,,2025-09-23,2025-09-23,corepound__2025-09-23__931d1bc5,defillama#5952
Venus Core Pool,3/29/25,Protocol Logic,Donation Attack,902000.0,zkSync Era,False,DeFi Protocol,,212.0,Solidity,https://x.com/yonikesel/status/1905993100738134408,parent#venus-finance,2025-03-29,2025-03-29,venus-core-pool__2025-03-29__0433e834,parent#venus-finance
Lodestar V0,12/10/22,Ecosystem,Flashloan Price Oracle Attack,6900000.0,Arbitrum,False,DeFi Protocol,,2339.0,Solidity,https://twitter.com/BowTiedPickle/status/1601650177369993216?s=20&t=lv-ruhz34Xz7S_fZVFZj7w,parent#lodestar-finance,2022-12-10,2022-12-10,lodestar-v0__2022-12-10__0b379b23,parent#lodestar-finance
Ooki,11/5/21,Infrastructure,Private Key Compromised (Phishing),55000000.0,"Polygon,BSC",False,DeFi Protocol,,197.0,,https://medium.com/tidal-finance/bzx-incident-report-e36828347a86,,2021-11-05,2021-11-05,ooki__2021-11-05__1a9c2e02,defillama#197
LiFi Finance,7/16/24,Protocol Logic,Router Exploit via Infinite Approvals,9730000.0,"zkSync Era,Linea,Metis",True,DeFi Protocol,,,Solidity,https://x.com/RektHQ/status/1813329331105726812,,2024-07-16,2024-07-16,lifi-finance__2024-07-16__d4e24b27,name#lifi-finance
Holograph,6/13/24,Protocol Logic,Infinite Mint and Dump,6700000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://www.coindesk.com/tech/2024/06/13/hlg-down-over-60-as-exploiter-mints-1-billion-new-tokens/,,2024-06-13,2024-06-13,holograph__2024-06-13__0d3b6ba3,name#holograph
Growth DeFi,2/9/21,Ecosystem,Flashloan Price Oracle Attack,1300000.0,Ethereum,False,DeFi Protocol,,159.0,Solidity,https://rekt.news/the-big-combo/,,2021-02-09,2021-02-09,growth-defi__2021-02-09__e54ec457,defillama#159
Loopscale,4/26/25,Protocol Logic,Price Oracle Manipulation,5800000.0,Solana,False,DeFi Protocol,,,Rust,https://x.com/LoopscaleLabs/status/1916183179469246626,,2025-04-26,2025-04-26,loopscale__2025-04-26__bc26e2f1,name#loopscale
AlphaPo,7/26/23,Infrastructure,Private Key Compromised (Unknown Method),60000000.0,"Ethereum,Tron",False,CEX,,,,https://rekt.news/alphapo-rekt/,,2023-07-26,2023-07-26,alphapo__2023-07-26__1034ac7e,name#alphapo
Stake.com,9/4/23,Infrastructure,Private Key Compromised (Unknown Method),41300000.0,"Ethereum,BSC,Polygon",False,Other,,,,https://twitter.com/web3isgreat/status/1698750534025441678,,2023-09-04,2023-09-04,stake-com__2023-09-04__dbd8b648,name#stake-com
DeltaPrime,7/23/24,Protocol Logic,,1000000.0,Arbitrum,False,DeFi Protocol,,2479.0,Solidity,https://x.com/DeltaPrimeDefi/status/1815536737206026346,,2024-07-23,2024-07-23,deltaprime__2024-07-23__f3821c66,defillama#2479
Blizz Finance,5/13/22,Infrastructure,Outdated Oracle Exploit,21800000.0,Avalanche,False,DeFi Protocol,,807.0,,https://rekt.news/venus-blizz-rekt/,,2022-05-13,2022-05-13,blizz-finance__2022-05-13__b3d69e7e,defillama#807
BearnFi,5/17/21,Ecosystem,Flashloan Withdraw Logic Exploit,18000000.0,BSC,False,DeFi Protocol,,387.0,,https://peckshield.medium.com/bearn-fi-incident-inconsistent-asset-denomination-between-vault-strategy-9b24b68ab1c0,,2021-05-17,2021-05-17,bearnfi__2021-05-17__96880f35,defillama#387
GMBL.COMPUTER,9/6/23,Protocol Logic,Referral Claims Logic Exploit,815000.0,Arbitrum,False,DeFi Protocol,,,,https://twitter.com/ImmuneBytes/status/1699338311230214536,,2023-09-06,2023-09-06,gmbl-computer__2023-09-06__bf26d778,name#gmbl-computer
GMX V1 Perps,9/18/22,Ecosystem,Price Oracle Attack,565000.0,Arbitrum,False,DeFi Protocol,,337.0,Solidity,https://twitter.com/jayantkrish/status/1571893643178569728?s=20&t=O--bs-V1Xnkmzm2JZOdZsw,parent#gmx,2022-09-18,2022-09-18,gmx-v1-perps__2022-09-18__e161f62a,parent#gmx
Grim Finance,12/18/21,Ecosystem,Flashloan Reentrancy Attack,30000000.0,Fantom,False,DeFi Protocol,,493.0,Solidity,https://twitter.com/RugDocIO/status/1472293717725913089,,2021-12-18,2021-12-18,grim-finance__2021-12-18__1cbeff6e,defillama#493
Treasure,3/3/22,Protocol Logic,Buy Function Exploit,1400000.0,Arbitrum,False,DeFi Protocol,,1350.0,Solidity,https://twitter.com/sniko_/status/1499202361180442627?s=20&t=PmAlFn3y2dhQSStkXyDCDA,,2022-03-03,2022-03-03,treasure__2022-03-03__5ebd8e9e,defillama#1350
Themis Protocol,6/27/23,Ecosystem,Flashloan Price Oracle Attack,370000.0,Arbitrum,False,DeFi Protocol,,3158.0,Solidity,https://twitter.com/peckshield/status/1673778002373509121,,2023-06-27,2023-06-27,themis-protocol__2023-06-27__4257819b,defillama#3158
Allbridge Core,4/2/23,Ecosystem,Flashloan Price Oracle Attack,650000.0,BSC,True,DeFi Protocol,,3944.0,,https://allbridge.medium.com/allbridge-core-updates-following-the-relaunch-9f7716eeb5da,parent#allbridge,2023-04-02,2023-04-02,allbridge-core__2023-04-02__b667790b,parent#allbridge
Kronos Research,11/18/23,Infrastructure,API Key unauthorized access,26000000.0,Ethereum,False,Other,,,,https://twitter.com/ResearchKronos/status/1726013733888041376,,2023-11-18,2023-11-18,kronos-research__2023-11-18__a9b92704,name#kronos-research
Curve DEX,7/30/23,Infrastructure,Vyper Compiler Bug,61700000.0,Ethereum,False,DeFi Protocol,,3.0,Vyper,https://twitter.com/spreekaway/status/1685669149911990273,parent#curve-finance,2023-07-30,2023-07-30,curve-dex__2023-07-30__0dd585f1,parent#curve-finance
Inverse Finance Frontier,4/2/22,Ecosystem,Price Oracle Attack,15600000.0,Ethereum,False,DeFi Protocol,,338.0,Solidity,https://twitter.com/FrankResearcher/status/1510239094777032713?s=20&t=RBNXo-6wEDCiBE5a9nO0-Q,parent#inverse-finance,2022-04-02,2022-04-02,inverse-finance-frontier__2022-04-02__03901bd7,parent#inverse-finance
Harbor Protocol,8/19/23,,,,Comdex,False,DeFi Protocol,,2388.0,Rust,https://twitter.com/PeckShieldAlert/status/1692852140199522716,,2023-08-19,2023-08-19,harbor-protocol__2023-08-19__cf60614b,defillama#2388
Sturdy V1,6/12/23,Ecosystem,Flashloan Reentrancy Attack,770000.0,Ethereum,False,DeFi Protocol,,1577.0,Solidity,https://twitter.com/blocksecteam/status/1668084629654638592,parent#sturdy,2023-06-12,2023-06-12,sturdy-v1__2023-06-12__faefd498,parent#sturdy
Heco Bridge,11/22/23,Infrastructure,Private Key Compromised (Unknown Method),86600000.0,Ethereum,True,DeFi Protocol,,,,https://twitter.com/TheBlock__/status/1727397707843621201,,2023-11-22,2023-11-22,heco-bridge__2023-11-22__8e78cba7,name#heco-bridge
Wise Lending V1,1/12/24,Protocol Logic,Rounding Donation Attack,464000.0,Ethereum,False,DeFi Protocol,,3491.0,Solidity,https://twitter.com/spreekaway/status/1745892488127070270,parent#wise-lending,2024-01-12,2024-01-12,wise-lending-v1__2024-01-12__2ad31d68,parent#wise-lending
Lendf.me,4/19/20,Smart Contract Language,Reentrancy,1200000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://slowmist.medium.com/slowmist-details-of-lendf-me-reentrancy-attack-3e168ab5f2b1,,2020-04-19,2020-04-19,lendf-me__2020-04-19__60dc8eb9,name#lendf-me
ForceBridge,6/6/25,Protocol Logic,Acces Control Exploit,3900000.0,Nervos,True,DeFi Protocol,,,Rust,https://x.com/hackenclub/status/1929451310060892202,,2025-06-06,2025-06-06,forcebridge__2025-06-06__0b12e83e,name#forcebridge
BtcTurk,8/14/25,Infrastructure,Private Key Compromised,48000000.0,"Ethereum,Avalanche,Arbitrum,Base,Optimism,Mantle,Polygon",False,CEX,,,Solidity,https://x.com/CyversAlerts/status/1955967877602803929,,2025-08-14,2025-08-14,btcturk__2025-08-14__e82cb4aa,name#btcturk
ElasticSwap,12/13/22,Ecosystem,Price Oracle Attack,854000.0,"Avalanche,Ethereum",False,DeFi Protocol,520650.0,1919.0,,https://twitter.com/ElasticSwap/status/1602582495819694081,,2022-12-13,2022-12-13,elasticswap__2022-12-13__ff8995b0,defillama#1919
Onyx Protocol,11/1/23,Ecosystem,Flashloan Donate Function Logic Exploit,2100000.0,Ethereum,False,DeFi Protocol,,1631.0,Solidity,https://twitter.com/decurityhq/status/1719657969925677161,parent#onyx,2023-11-01,2023-11-01,onyx-protocol__2023-11-01__4dcb3e3d,parent#onyx
Magpie Protocol,4/23/24,Protocol Logic,Router Exploit,129000.0,"Ethereum,Polygon,BSC,Blast,Avalanche,Arbitrum,Optimism,Base,zkSync Era,Polygon zkEVM",False,DeFi Protocol,,,Solidity,https://twitter.com/magpieprotocol/status/1782708631126819137,,2024-04-23,2024-04-23,magpie-protocol__2024-04-23__f0cbb220,name#magpie-protocol
Hundred Finance,4/15/23,Protocol Logic,Flashloan Donate Function Logic Exploit,7000000.0,Optimism,False,DeFi Protocol,,607.0,Solidity,https://rekt.news/hundred-rekt2/,,2023-04-15,2023-04-15,hundred-finance__2023-04-15__9da00f9a,defillama#607
Hope Finance,2/20/23,Rugpull,Router Exploit,1860000.0,Arbitrum,False,DeFi Protocol,,,Solidity,https://twitter.com/Cointelegraph/status/1627976451814490113,,2023-02-20,2023-02-20,hope-finance__2023-02-20__4924ba2f,name#hope-finance
LuBian,12/28/20,Infrastructure,Private Key Compromised (Brute Force),3500000000.0,Bitcoin,False,Other,,,,https://x.com/arkham/status/1951729790299394113,,2020-12-28,2020-12-28,lubian__2020-12-28__b5a373cd,name#lubian
Mirror,10/8/21,Infrastructure,Outdated Oracle Exploit,2000000.0,Terra,False,DeFi Protocol,,260.0,Rust,https://twitter.com/FatManTerra/status/1531365988809293825?s=20&t=o8YSLZ0o7gAdHOxdVeuPcg,,2021-10-08,2021-10-08,mirror__2021-10-08__4cfe4e10,defillama#260
Ionic Protocol,2/4/25,Protocol Logic,Fake Collateral Exploit,4000000.0,Mode,False,DeFi Protocol,,4070.0,Solidity,https://x.com/CyversAlerts/status/1886829735130407065,,2025-02-04,2025-02-04,ionic-protocol__2025-02-04__c107236c,defillama#4070
Yearn Finance,2/5/21,Ecosystem,Flashloan Price Oracle Attack,11000000.0,Ethereum,False,DeFi Protocol,,113.0,Solidity,https://rekt.news/yearn-rekt/,parent#yearn,2021-02-05,2021-02-05,yearn-finance__2021-02-05__67bc2f75,parent#yearn
Florence Finance,11/30/23,Infrastructure,Address Poisoning,1450000.0,Ethereum,False,DeFi Protocol,,3197.0,Solidity,https://twitter.com/PeckShieldAlert/status/1730045158509727968,,2023-11-30,2023-11-30,florence-finance__2023-11-30__f3d98dee,defillama#3197
Rari Capital,5/8/21,Protocol Logic,Price Oracle Attack,10000000.0,Ethereum,False,DeFi Protocol,,136.0,Solidity,https://twitter.com/FrankResearcher/status/1391087260125188099,,2021-05-08,2021-05-08,rari-capital__2021-05-08__6e074ec9,defillama#136
dForce,4/19/20,Protocol Logic,Reentrancy,25000000.0,Ethereum,False,DeFi Protocol,,123.0,,https://decrypt.co/26033/dforce-lendfme-defi-hack-25m,,2020-04-19,2020-04-19,dforce__2020-04-19__2eaac0f7,defillama#123
Zabu Finance,9/12/21,Protocol Logic,Flashloan Exploit,3200000.0,Avalanche,False,DeFi Protocol,,,Solidity,https://www.immunebytes.com/blog/zabu-finance-hack-sep-12-2021-detailed-analysis-report/,,2021-09-12,2021-09-12,zabu-finance__2021-09-12__c41e2c89,name#zabu-finance
Magnate Finance,8/25/23,Rugpull,Drained Contracts,6400000.0,Base,False,DeFi Protocol,,3342.0,Solidity,https://twitter.com/PeckShieldAlert/status/1694946221788729440,,2023-08-25,2023-08-25,magnate-finance__2023-08-25__f52ba81e,defillama#3342
Sentiment,4/4/23,Ecosystem,Flashloan Reentrancy Attack,1000000.0,Arbitrum,False,DeFi Protocol,900000.0,2285.0,Solidity,https://twitter.com/spreekaway/status/1643314142214758410?t=Lsj87_GeYV3YDlVXX4bFHQ&s=19,,2023-04-04,2023-04-04,sentiment__2023-04-04__423ffd48,defillama#2285
CrediX,8/4/25,Infrastructure,Private Key Compromised,4500000.0,Sonic,False,DeFi Protocol,,,Solidity,https://x.com/CyversAlerts/status/1952299850650747079,,2025-08-04,2025-08-04,credix__2025-08-04__3cddb98b,name#credix
Bunny,7/16/21,Ecosystem,Flashloan Incentive Rewards Exploit,2400000.0,BSC,False,DeFi Protocol,,254.0,Solidity,https://pancakebunny.medium.com/polybunny-post-mortem-compensation-42b5c35ce957,,2021-07-16,2021-07-16,bunny__2021-07-16__d6aee060,defillama#254
StableMagnet,6/23/21,Rugpull,Drained Contracts and User Wallets,27000000.0,BSC,False,DeFi Protocol,,,Solidity,https://twitter.com/RugDocIO/status/1407830298251964427?s=20&t=ABcGHyHjFWrkOL8Ya2qfKQ,,2021-06-23,2021-06-23,stablemagnet__2021-06-23__74d3cd34,name#stablemagnet
Agave,3/15/22,Ecosystem,Flashloan Reentrancy Attack,5500000.0,Gnosis Chain,False,DeFi Protocol,,696.0,Solidity,https://rekt.news/agave-hundred-rekt/,,2022-03-15,2022-03-15,agave__2022-03-15__b028e17a,defillama#696
Atlantis Loans,6/10/23,Rugpull,Access Control Exploit,116000.0,BSC,False,DeFi Protocol,,745.0,Solidity,https://twitter.com/peckshield/status/1667624256111276033,,2023-06-10,2023-06-10,atlantis-loans__2023-06-10__ddf852d7,defillama#745
Bitrue,4/14/23,Infrastructure,Hot wallet hack,23000000.0,,False,CEX,,,,https://twitter.com/BTCTN/status/1646915702907973632,,2023-04-14,2023-04-14,bitrue__2023-04-14__1fbfb82a,name#bitrue
PRXVT,1/1/26,Protocol Logic,Sybil Attack with CREATE2 Addresses,97000.0,Base,False,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/2006653156927889666,,2026-01-01,2026-01-01,prxvt__2026-01-01__338f7ce7,name#prxvt
Meter,2/6/22,Protocol Logic,Deposit Function Exploit,7700000.0,Ethereum,True,DeFi Protocol,,,Solidity,https://twitter.com/ishwinder/status/1490227406824685569?s=20&t=_Ypi0s4w213ow0Rdgp4tmw,,2022-02-06,2022-02-06,meter__2022-02-06__e5c42ffd,name#meter
Punk Protocol,8/10/21,Smart Contract Language,Delegatecall Exploit,8950000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,,2021-08-10,2021-08-10,punk-protocol__2021-08-10__1da7227e,name#punk-protocol
Clipper,12/1/24,Protocol Logic,API Signature Exploit,450000.0,"Optimism,Base",False,DeFi Protocol,,622.0,,https://x.com/Clipper_DEX/status/1863263893470003460,,2024-12-01,2024-12-01,clipper__2024-12-01__5f01e669,defillama#622
Defrost,12/24/22,Rugpull,Oracle Manipulation,6000000.0,Avalanche,False,DeFi Protocol,6000000.0,913.0,Solidity,https://de.fi/blog/exclusive-the-defrost-team-rug-pulled-12m-7m-999b24c13f47,,2022-12-24,2022-12-24,defrost__2022-12-24__bd147779,defillama#913
Ambient,10/17/24,Ecosystem,Domain Hijack,,Ethereum,False,DeFi Protocol,,3104.0,,https://x.com/ambient_finance/status/1846895776116379747,,2024-10-17,2024-10-17,ambient__2024-10-17__6b8345df,defillama#3104
Raydium AMM,12/16/22,Infrastructure,Private Key Compromised (Unknown Method),4400000.0,Solana,False,DeFi Protocol,,214.0,Rust,https://twitter.com/osec_io/status/1603763023151509505?s=20&t=_J9Y8NV-o0QeXHtnkyR-4A,parent#raydium,2022-12-16,2022-12-16,raydium-amm__2022-12-16__ff6121f7,parent#raydium
Squid Games,11/3/21,Rugpull,Drained Liquidity Pool,3400000.0,BSC,False,Gaming,,,Solidity,https://x.com/__tricck/status/1455083308702834690,,2021-11-03,2021-11-03,squid-games__2021-11-03__1d55b2cb,name#squid-games
SuperRare,7/28/25,Protocol Logic,updateMerkleRoot Access Control Exploit,730000.0,Ethereum,False,DeFi Protocol,,3144.0,Solidity,https://x.com/CertiKAlert/status/1949772114309132363,,2025-07-28,2025-07-28,superrare__2025-07-28__551cca08,defillama#3144
DMM Bitcoin,5/31/24,Infrastructure,Private Key Compromised (Unknown Method),305000000.0,Bitcoin,False,CEX,305000000.0,,,https://x.com/Cointelegraph/status/1796544899606524310,,2024-05-31,2024-05-31,dmm-bitcoin__2024-05-31__a28ffeed,name#dmm-bitcoin
ValueDefi,11/14/20,Ecosystem,Flashloan Price Oracle Attack,7000000.0,Ethereum,False,DeFi Protocol,,164.0,Solidity,https://rekt.news/value-defi-rekt/,parent#value-finance,2020-11-14,2020-11-14,valuedefi__2020-11-14__73c7eb42,parent#value-finance
Shido,2/29/24,Protocol Logic,Private Key Compromised,3300000.0,Ethereum,False,Other,,,Solidity,https://cointelegraph.com/news/shido-token-plummet-attacker-drains-staking-contract,,2024-02-29,2024-02-29,shido__2024-02-29__ea09c77c,name#shido
Dexodus Finance,5/26/25,Protocol Logic,Price Manipulation Attack,300000.0,Base,False,DeFi Protocol,300000.0,5428.0,Solidity,https://x.com/hklst4r/status/1927008251045929463,,2025-05-26,2025-05-26,dexodus-finance__2025-05-26__41ec2b9b,defillama#5428
Panoptic V1.1,8/25/25,Protocol Logic,,0.0,"Base,Unichain,Ethereum",False,DeFi Protocol,,6230.0,Solidity,https://x.com/Panoptic_xyz/status/1964010635026715015,parent#panoptic,2025-08-25,2025-08-25,panoptic-v1-1__2025-08-25__2fbd0242,parent#panoptic
dYdX V3,11/18/23,Protocol Logic,Price Manipulation Attack,9000000.0,Ethereum,False,DeFi Protocol,,144.0,,https://twitter.com/AntonioMJuliano/status/1725926693440045389,parent#dydx,2023-11-18,2023-11-18,dydx-v3__2023-11-18__6cbffb9b,parent#dydx
zkFinance,11/11/24,Protocol Logic,Oracle Misconfiguration Exploit,200000.0,zkSync Era,False,DeFi Protocol,,4798.0,,https://x.com/spreekaway/status/1856101815995011427,,2024-11-11,2024-11-11,zkfinance__2024-11-11__c19d9808,defillama#4798
xToken,8/29/21,Ecosystem,Flashloan Price Oracle Attack,4500000.0,Ethereum,False,DeFi Protocol,,206.0,Solidity,https://medium.com/xtoken/xsnx-post-mortem-666d35071f38,,2021-08-29,2021-08-29,xtoken__2021-08-29__a89a5b92,defillama#206
Typus Perp,10/15/25,Protocol Logic,TLP Contract Exploit,3400000.0,Sui,False,DeFi Protocol,,6014.0,Move,https://x.com/TypusFinance/status/1978465485395304778,parent#typus-finance,2025-10-15,2025-10-15,typus-perp__2025-10-15__bd3266ab,parent#typus-finance
Garden,10/30/25,Protocol Logic,Private Key Compromised,10800000.0,"Ethereum,Arbitrum,Base,Solana",True,DeFi Protocol,,4086.0,,https://x.com/QuillAudits_AI/status/1983910001350783316,,2025-10-30,2025-10-30,garden__2025-10-30__1f8f4190,defillama#4086
Roe Finance,1/11/23,Ecosystem,Flashloan Pool Shares Exploit,80000.0,"Ethereum,Polygon",False,DeFi Protocol,,2357.0,,https://twitter.com/spreekaway/status/1613205435762495488,,2023-01-11,2023-01-11,roe-finance__2023-01-11__c85f1adf,defillama#2357
Gamma,1/4/24,Protocol Logic,Price Manipulation Attack,4500000.0,Arbitrum,False,DeFi Protocol,,355.0,Solidity,https://twitter.com/peckshieldalert/status/1742753372334399513,,2024-01-04,2024-01-04,gamma__2024-01-04__84a3a6a2,defillama#355
Ronin Bridge,8/6/24,Protocol Logic,MEV bot manipulation exploit,12000000.0,Ethereum,True,DeFi Protocol,,4440.0,Solidity,https://x.com/Ronin_Network/status/1820804772917588339,,2024-08-06,2024-08-06,ronin-bridge__2024-08-06__89792bd0,defillama#4440
Omm,1/21/23,Protocol Logic,Redeem Function Exploit,1891000.0,Icon,False,DeFi Protocol,,546.0,Java,https://forum.omm.finance/t/omm-exploit-postmortem-january-2023/266,,2023-01-21,2023-01-21,omm__2023-01-21__a633cc7b,defillama#546
uniBTC,9/26/24,Protocol Logic,Minting Logic Exploit,1700000.0,Ethereum,False,DeFi Protocol,,4966.0,Solidity,https://x.com/phtevenstrong/status/1839389432975397017,,2024-09-26,2024-09-26,unibtc__2024-09-26__823040f2,defillama#4966
KiloEx,4/14/25,Protocol Logic,Price Oracle Manipulation,7500000.0,"BSC,Base,Taiko",False,DeFi Protocol,6750000.0,3329.0,Solidity,https://x.com/shoucccc/status/1911862514440376446,,2025-04-14,2025-04-14,kiloex__2025-04-14__1d64244a,defillama#3329
Clober Liquidity Vault,12/10/24,Protocol Logic,Reentrancy,500000.0,Base,False,DeFi Protocol,,5315.0,,https://x.com/peckshieldalert/status/1866434326596112705,parent#clober,2024-12-10,2024-12-10,clober-liquidity-vault__2024-12-10__bd8e0932,parent#clober
Badger DAO,12/2/21,Infrastructure,Cloudflare Key Compromised,120000000.0,Ethereum,False,DeFi Protocol,,173.0,,https://badger.com/technical-post-mortem,,2021-12-02,2021-12-02,badger-dao__2021-12-02__1136e5a1,defillama#173
Convergence,8/1/24,Protocol Logic,Missing Input Validation,210000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://www.coindesk.com/markets/2024/08/01/defi-protocol-convergence-hacked-cvg-token-plunges-99-on-curve/,,2024-08-01,2024-08-01,convergence__2024-08-01__658a2c51,name#convergence
Raga Finance,11/22/25,Infrastructure,HyperEVM Delta Neutral Exploit,18500.0,Hyperliquid L1,False,DeFi Protocol,,,Solidity,https://x.com/ragafinance/status/1994384974049591647,,2025-11-22,2025-11-22,raga-finance__2025-11-22__d58eb138,name#raga-finance
DuelBits,2/13/24,Infrastructure,Private Key Compromised,4600000.0,Ethereum,False,CEX,,,,https://x.com/CertiKAlert/status/1757681640384381238,,2024-02-13,2024-02-13,duelbits__2024-02-13__7e8cf348,name#duelbits
Wintermute,6/5/22,Infrastructure,Cross Chain Multisig Deployment Exploit,27600000.0,Optimism,False,DeFi Protocol,,,,https://banteg.mirror.xyz/iZAsBNL3j_5NIAY2Erav1r7Q4ecc7SC76AfMjyScs34,,2022-06-05,2022-06-05,wintermute__2022-06-05__1236ef66,name#wintermute
SharedStake,9/1/23,Protocol Logic,Ownership Override Attack,175000.0,Ethereum,False,DeFi Protocol,,275.0,,https://twitter.com/spreekaway/status/1697612239929246022,,2023-09-01,2023-09-01,sharedstake__2023-09-01__adf8b3ee,defillama#275
Mars Perps,12/14/25,Protocol Logic,Thin-Market Skew Exploit,960000.0,Neutron,False,DeFi Protocol,,5498.0,Rust,https://x.com/mars_protocol/status/2000283619361800307,parent#mars-protocol,2025-12-14,2025-12-14,mars-perps__2025-12-14__8bdd91d8,parent#mars-protocol
Vestra DAO,12/4/24,Protocol Logic,Staking Logic Exploit,500000.0,Ethereum,False,DeFi Protocol,,,Solidity,https://x.com/_czepluch/status/1866112404242743590,,2024-12-04,2024-12-04,vestra-dao__2024-12-04__316a1b33,name#vestra-dao
Indexed Finance,10/14/21,Ecosystem,Flashloan Price Oracle Attack,16000000.0,Ethereum,False,DeFi Protocol,,188.0,Solidity,https://ndxfi.medium.com/indexed-attack-post-mortem-b006094f0bdc,,2021-10-14,2021-10-14,indexed-finance__2021-10-14__6cd4a687,defillama#188
Remitano,9/15/23,Infrastructure,Private Key Compromised (Unknown Method),2700000.0,"Ethereum,Tron,BitcoinCash",False,CEX,,,,https://twitter.com/CyversAlerts/status/1702348063145165016/photo/1,,2023-09-15,2023-09-15,remitano__2023-09-15__5b1db45a,name#remitano
PeopleDAO,3/8/23,Infrastructure,Social Engineering,120000.0,Ethereum,False,DAO,,,,https://twitter.com/The_PeopleDAO/status/1634518915668668416?s=20,,2023-03-08,2023-03-08,peopledao__2023-03-08__9f9605f9,name#peopledao
Midas Capital,6/17/23,Protocol Logic,Redeem Rounding Error Exploit,600000.0,BSC,False,DeFi Protocol,,1925.0,Solidity,https://twitter.com/peckshield/status/1670148905810403330?s=20,,2023-06-17,2023-06-17,midas-capital__2023-06-17__74402645,defillama#1925
pNetwork,10/4/21,Protocol Logic,Log Spoofing,13000000.0,"BSC,Bitcoin",True,DeFi Protocol,,,Rust,https://www.halborn.com/blog/post/explained-the-pnetwork-hack-september-2021,,2021-10-04,2021-10-04,pnetwork__2021-10-04__cdf42824,name#pnetwork
Evoq Finance,9/10/25,Infrastructure,Advanced Persistent Threat (APT) attack,420000.0,BSC,False,DeFi Protocol,,5959.0,Solidity,https://x.com/Evoq_Finance/status/1965691948939014408,,2025-09-10,2025-09-10,evoq-finance__2025-09-10__3ee16afc,defillama#5959
Ribbon,12/12/25,Protocol Logic,Private Key Compromised,2700000.0,Ethereum,False,DeFi Protocol,,281.0,Solidity,https://x.com/specteranalyst/status/1999532982411854109,parent#ribbon-finance,2025-12-12,2025-12-12,ribbon__2025-12-12__c1db2803,parent#ribbon-finance
